.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Category,Correct?,Total correct,Percent correct,Button switch shown?,Fast?,gender,age,
0,0,0,364,1,['k'],['k'],Y,,,,,F,21,
0,1,1,570,1,['d'],['k'],N,,,,,F,21,
0,2,2,545,1,['k'],['k'],Y,,,,,F,21,
0,3,3,575,1,['k'],['k'],Y,,,,,F,21,
0,4,4,268,1,['k'],['d'],N,,,,,F,21,
0,5,5,282,1,['d'],['d'],Y,,,,,F,21,
0,6,6,365,1,['k'],['k'],Y,,,,,F,21,
0,7,7,235,1,['d'],['d'],Y,,,,,F,21,
0,8,8,501,1,['k'],['k'],Y,,,,,F,21,
0,9,9,247,1,['d'],['d'],Y,,,,,F,21,
0,10,10,135,1,['d'],['d'],Y,,,,,F,21,
0,11,11,371,1,['k'],['k'],Y,,,,,F,21,
0,12,12,301,1,['k'],['k'],Y,,,,,F,21,
0,13,13,271,1,['d'],['d'],Y,,,,,F,21,
0,14,14,277,1,['d'],['d'],Y,,,,,F,21,
0,15,15,472,1,['k'],['k'],Y,,,,,F,21,
0,16,16,204,1,['d'],['d'],Y,,,,,F,21,
0,17,17,6,1,['d'],['d'],Y,,,,,F,21,
0,18,18,299,1,['d'],['d'],Y,,,,,F,21,
0,19,19,154,1,['d'],['d'],Y,,,,,F,21,
0,20,20,394,1,['k'],['k'],Y,,,,,F,21,
0,21,21,111,1,['d'],['d'],Y,,,,,F,21,
0,22,22,200,1,['d'],['d'],Y,,,,,F,21,
0,23,23,88,1,['k'],['d'],N,,,,,F,21,
0,24,24,215,1,['d'],['d'],Y,,,,,F,21,
0,25,25,124,1,['d'],['d'],Y,,,,,F,21,
0,26,26,95,1,['d'],['d'],Y,,,,,F,21,
0,27,27,337,1,['k'],['k'],Y,,,,,F,21,
0,28,28,144,1,['d'],['d'],Y,,,,,F,21,
0,29,29,51,1,['d'],['d'],Y,,,,,F,21,
0,30,30,40,1,['d'],['d'],Y,,,,,F,21,
0,31,31,448,1,['k'],['k'],Y,,,,,F,21,
