.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Correct?,Category,Match?,Interference correct?,Total correct in block,Button switch shown?,Actually switched?,Fast?,gender,age
0,0,0,28,1,None,Timed out,,,,,,,,F,20
0,1,1,548,1,['y'],Y,['k'],Y,Y,,,,,F,20
0,2,2,408,1,['n'],Y,['k'],N,Y,,,,,F,20
0,3,3,325,1,['y'],N,['k'],Y,Y,,,,,F,20
0,4,4,439,1,['y'],Y,['k'],Y,Y,,,,,F,20
0,5,5,232,1,['n'],Y,['d'],N,Y,,,,,F,20
0,6,6,450,1,['y'],N,['k'],Y,Y,,,,,F,20
0,7,7,148,1,['n'],N,['d'],Y,N,,,,,F,20
0,8,8,35,1,['y'],N,['d'],Y,Y,,,,,F,20
0,9,9,436,1,['y'],Y,['k'],Y,Y,,,,,F,20
0,10,10,429,1,['y'],N,['k'],Y,Y,,,,,F,20
0,11,11,183,1,['n'],N,['d'],N,Y,,,,,F,20
0,12,12,63,1,['y'],N,['d'],Y,Y,,,,,F,20
0,13,13,561,1,['n'],Y,['k'],N,Y,,,,,F,20
0,14,14,437,1,['n'],N,['k'],N,Y,,,,,F,20
0,15,15,149,1,['y'],N,['d'],Y,Y,,,,,F,20
0,16,16,362,1,['y'],Y,['k'],Y,Y,,,,,F,20
0,17,17,499,1,['y'],N,['k'],Y,Y,,,,,F,20
0,18,18,49,1,['n'],N,['d'],N,Y,,,,,F,20
0,19,19,217,1,['n'],N,['d'],N,Y,,,,,F,20
0,20,20,30,1,['n'],Y,['d'],Y,N,,,,,F,20
0,21,21,430,1,['y'],N,['k'],Y,Y,,,,,F,20
0,22,22,192,1,['n'],Y,['d'],Y,N,,,,,F,20
0,23,23,39,1,['n'],N,['d'],N,Y,,,,,F,20
0,24,24,291,1,['n'],N,['d'],Y,N,,,,,F,20
0,25,25,520,1,['y'],N,['k'],Y,Y,,,,,F,20
0,26,26,129,1,None,Timed out,,,,,,,,F,20
0,27,27,494,1,['n'],Y,['k'],Y,N,,,,,F,20
0,28,28,448,1,['n'],N,['k'],N,Y,,,,,F,20
0,29,29,449,1,['y'],Y,['k'],Y,Y,,,,,F,20
0,30,30,535,1,['n'],N,['k'],N,Y,,,,,F,20
0,31,31,103,1,['n'],Y,['d'],N,Y,,,,,F,20
0,32,32,435,1,['n'],N,['k'],N,Y,,,,,F,20
0,33,33,266,1,['y'],N,['d'],N,N,,,,,F,20
0,34,34,428,1,['y'],N,['k'],Y,Y,,,,,F,20
0,35,35,3,1,['n'],N,['d'],Y,N,,,,,F,20
0,36,36,472,1,['y'],Y,['k'],Y,Y,,,,,F,20
0,37,37,120,1,['n'],Y,['d'],Y,N,,,,,F,20
0,38,38,225,1,['n'],Y,['d'],N,Y,,,,,F,20
0,39,39,453,1,['n'],N,['k'],N,Y,,,,,F,20
0,40,40,352,1,['n'],N,['k'],Y,N,,,,,F,20
0,41,41,364,1,['n'],Y,['k'],N,Y,,,,,F,20
0,42,42,461,1,['y'],Y,['k'],Y,Y,,,,,F,20
0,43,43,7,1,['n'],Y,['d'],Y,N,,,,,F,20
0,44,44,98,1,['y'],Y,['d'],Y,Y,,,,,F,20
0,45,45,509,1,['y'],Y,['k'],Y,Y,,,,,F,20
0,46,46,483,1,['y'],Y,['k'],Y,Y,,,,,F,20
0,47,47,83,1,['y'],Y,['d'],Y,Y,,,,,F,20
0,48,48,306,1,['n'],Y,['k'],N,Y,,,,,F,20
0,49,49,239,1,['n'],Y,['d'],N,Y,24,,,,F,20
,,,,,,,,,,,,,,,
0,50,50,125,2,['y'],N,['d'],Y,Y,,,,,F,20
0,51,51,566,2,['n'],N,['k'],N,Y,,,,,F,20
0,52,52,390,2,['y'],N,['k'],Y,Y,,,,,F,20
0,53,53,368,2,['y'],Y,['k'],Y,Y,,,,,F,20
0,54,54,303,2,['y'],Y,['k'],Y,Y,,,,,F,20
0,55,55,474,2,['n'],Y,['k'],N,Y,,,,,F,20
0,56,56,168,2,['y'],N,['d'],Y,Y,,,,,F,20
0,57,57,186,2,['n'],Y,['d'],N,Y,,,,,F,20
0,58,58,214,2,['n'],N,['d'],N,Y,,,,,F,20
0,59,59,237,2,['n'],Y,['d'],N,Y,,,,,F,20
0,60,60,5,2,['n'],N,['d'],N,Y,,,,,F,20
0,61,61,50,2,['n'],N,['d'],N,Y,,,,,F,20
0,62,62,265,2,['y'],Y,['d'],Y,Y,,,,,F,20
0,63,63,252,2,['y'],Y,['d'],Y,Y,,,,,F,20
0,64,64,361,2,['y'],N,['k'],Y,Y,,,,,F,20
0,65,65,415,2,['n'],Y,['k'],N,Y,,,,,F,20
0,66,66,518,2,['n'],Y,['k'],N,Y,,,,,F,20
0,67,67,476,2,['y'],N,['k'],N,N,,,,,F,20
0,68,68,209,2,['y'],Y,['d'],Y,Y,,,,,F,20
0,69,69,481,2,['n'],Y,['k'],Y,N,,,,,F,20
0,70,70,96,2,['y'],Y,['d'],Y,Y,,,,,F,20
0,71,71,62,2,['y'],N,['d'],N,N,,,,,F,20
0,72,72,207,2,['n'],Y,['d'],N,Y,,,,,F,20
0,73,73,34,2,['n'],N,['d'],N,Y,,,,,F,20
0,74,74,586,2,['y'],Y,['k'],Y,Y,,,,,F,20
0,75,75,375,2,['n'],Y,['k'],Y,N,,,,,F,20
0,76,76,111,2,['n'],N,['d'],N,Y,,,,,F,20
0,77,77,477,2,['y'],N,['k'],Y,Y,,,,,F,20
0,78,78,104,2,['y'],N,['d'],Y,Y,,,,,F,20
0,79,79,37,2,['n'],N,['d'],N,Y,,,,,F,20
0,80,80,500,2,['y'],Y,['k'],Y,Y,,,,,F,20
0,81,81,216,2,['n'],N,['d'],N,Y,,,,,F,20
0,82,82,16,2,['n'],N,['d'],Y,N,,,,,F,20
